StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q40_1,Q40_2,Q40_3,Q40_4,Q40_5,Q41,Q44,Q45,Q43,Q3,Q4,Q21,Q6_1,Q6_2,Q6_3,Q7,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,Q11_14_TEXT,Q14,Q50,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12,Q15_1,Q15_2,Q15_3,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q9_14,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q8,Q33,Q34,Q35,Q38,Q31,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q31_7,Q31_8,Q31_9,Q31_10,Q26,Q27,Q48
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,During the COVID-19 pandemic... - my timeline for completing the program has been affected,During the COVID-19 pandemic... - my mentor has been flexible with regards to meeting program milestones(e.g. giving permission to use archival datasets),During the COVID-19 pandemic... - I have been satisfied with the overall department response to the pandemic,During the COVID-19 pandemic... - I have felt adequately supported by my mentor,During the COVID-19 pandemic... - I have felt adequately supported by the department,How has the COVID-19 pandemic affected your timeline for completing your program?,What additional support would you like from your mentor during this pandemic?,What additional support would you like from the department during this pandemic?,Do you have any additional specific comments or issues related to the department's COVID-19 response?,Do you feel that the current graduate student stipend is enough to live comfortably?,Have you had to borrow money or receive other assistance in addition to your stipend during your time as a graduate student in this department?,Do you have any additional thoughts/comments on your experience with the department stipend?,How would you rate your experiences as a Teaching Assistant? - Workload,How would you rate your experiences as a Teaching Assistant? - Treatment by Professors,How would you rate your experiences as a Teaching Assistant? - Your own growth as an instructor,Do you have any additional thoughts/comments on your experience as a Teaching Assistant?,Have you ever felt excluded or treated in an unequal way at times in this department because of your: - Age,Have you ever felt excluded or treated in an unequal way at times in this department because of your: - Race,Have you ever felt excluded or treated in an unequal way at times in this department because of your: - Gender,Have you ever felt excluded or treated in an unequal way at times in this department because of your: - Gender Identity,Have you ever felt excluded or treated in an unequal way at times in this department because of your: - Sexual orientation,Have you ever felt excluded or treated in an unequal way at times in this department because of your: - Religious beliefs,Have you ever felt excluded or treated in an unequal way at times in this department because of your: - Political views,Have you ever felt excluded or treated in an unequal way at times in this department because of your: - Cultural background,Have you ever felt excluded or treated in an unequal way at times in this department because of your: - Mental health condition,Have you ever felt excluded or treated in an unequal way at times in this department because of your: - Learning disorder,Have you ever felt excluded or treated in an unequal way at times in this department because of your: - Physical disability,Have you ever felt excluded or treated in an unequal way at times in this department because of your: - Immigration status,Have you ever felt excluded or treated in an unequal way at times in this department because of your: - Socioeconomic status,"Have you ever felt excluded or treated in an unequal way at times in this department because of your: - Other, please explain:","Have you ever felt excluded or treated in an unequal way at times in this department because of your: - Other, please explain: - Text",I have thought about leaving the department because of exclusionary or discriminatory treatment:,"If you feel comfortable explaining what led you to consider leaving, please do so here:","Considering your experiences in this department, please indicate your level of agreement with each of the following statements: - I feel valued as an individual in this department.","Considering your experiences in this department, please indicate your level of agreement with each of the following statements: - I feel I belong in this department.","Considering your experiences in this department, please indicate your level of agreement with each of the following statements: - This department has a strong commitment to diversity, equity, and inclusion.","Considering your experiences in this department, please indicate your level of agreement with each of the following statements: - I am treated with respect in this department.","Considering your experiences in this department, please indicate your level of agreement with each of the following statements: - This department is a place where I am able to perform up to my full potential.","Considering your experiences in this department, please indicate your level of agreement with each of the following statements: - I have opportunities in this department for professional success that are similar to those of my colleagues at other universities.","Considering your experiences in this department, please indicate your level of agreement with each of the following statements: - I have to work harder than others to be valued equally in this department.","Considering your experiences in this department, please indicate your level of agreement with each of the following statements: - My experience in this department has had a positive influence on my professional growth.","What can the department do to advance equity, diversity, and inclusion here?",Please rate your level of agreement with the following statements. - I would feel comfortable approaching someone in the department to file a formal complaint about discrimination or harassment.,"Please rate your level of agreement with the following statements. - I would recommend the U of Arizona Psychology Department to a colleague seeking a diverse institution for work, or school.",Please rate your level of agreement with the following statements. - I feel free to express opinions about my experiences in the department without fear of retaliation against me.,"For the next few questions, select one option between each set of adjectives that best represents how you would rate the UA Psychology Department based on your direct experiences: - Hostile:Friendly","For the next few questions, select one option between each set of adjectives that best represents how you would rate the UA Psychology Department based on your direct experiences: - Racist:Non-racist","For the next few questions, select one option between each set of adjectives that best represents how you would rate the UA Psychology Department based on your direct experiences: - Homogenous:Diverse","For the next few questions, select one option between each set of adjectives that best represents how you would rate the UA Psychology Department based on your direct experiences: - Disrespecful:Respectful","For the next few questions, select one option between each set of adjectives that best represents how you would rate the UA Psychology Department based on your direct experiences: - Contentious:Collegial","For the next few questions, select one option between each set of adjectives that best represents how you would rate the UA Psychology Department based on your direct experiences: - Sexist:Non-sexist","For the next few questions, select one option between each set of adjectives that best represents how you would rate the UA Psychology Department based on your direct experiences: - Individualistic:Collaborative","For the next few questions, select one option between each set of adjectives that best represents how you would rate the UA Psychology Department based on your direct experiences: - Competitive:Cooperative","For the next few questions, select one option between each set of adjectives that best represents how you would rate the UA Psychology Department based on your direct experiences: - Homophobic:Non-homophobic","For the next few questions, select one option between each set of adjectives that best represents how you would rate the UA Psychology Department based on your direct experiences: - Unsupportive:Supportive","For the next few questions, select one option between each set of adjectives that best represents how you would rate the UA Psychology Department based on your direct experiences: - Ageist:Non-ageist","For the next few questions, select one option between each set of adjectives that best represents how you would rate the UA Psychology Department based on your direct experiences: - Unwelcoming:Welcoming","For the next few questions, select one option between each set of adjectives that best represents how you would rate the UA Psychology Department based on your direct experiences: - Elitist:Non-elitist","For the next few questions, select one option between each set of adjectives that best represents how you would rate the UA Psychology Department based on your direct experiences: - Ableist:Non-ableist",How often have you experienced any of the following in the Department: - Received unwanted sexual advances in the Department.,How often have you experienced any of the following in the Department: - Been sexually harassed in the Department.,How often have you experienced any of the following in the Department: - Observed someone else being sexually harassed in the department.,How often have you experienced any of the following in the Department: - The environment in the department makes me feel comfortable and valued.,How often have you experienced any of the following in the Department: - I have been concerned with my physical safety around members of the department.,How often have you experienced any of the following in the Department: - I have feared retaliation if I voice a concern in the department.,How often have you experienced any of the following in the Department: - I have felt isolated in my department.,Please indicate your level of agreement with the following statements about the training you have received in this department. - I am satisfied with the training I have received through classes taught in this department.,Please indicate your level of agreement with the following statements about the training you have received in this department. - I am satisfied with the clinical experience I have received through this department.,Please indicate your level of agreement with the following statements about the training you have received in this department. - This department offers the classes I need to fulfill program requirements.,Please indicate your level of agreement with the following statements about the training you have received in this department. - I am satisfied with the cultural competency training I have received in this department.,"Please indicate your level of agreement with the following statements about the training you have received in this department. - I believe the department has provided adequate physical resources (space, supplies, etc.) for me to complete my training.",Please indicate your level of agreement with the following statements about the training you have received in this department. - I have been prepared for a job in academia,Please indicate your level of agreement with the following statements about the training you have received in this department. - I have been prepared to pursue a job outside of academia,Do you feel that you would benefit from a weekly graduate student writing group in the department?,What classes have you found the most helpful in the department?,What classes have you found the least helpful in the department?,What types of classes would you like to see offered in the department?,Do you have any additional thoughts/comments on the training you have received in this department?,"If you feel comfortable, please identify which program you are in within the department:",Please rate your level of agreement with the following statements about your advisor(s). - My advisor makes me feel comfortable and valued,Please rate your level of agreement with the following statements about your advisor(s). - My advisor is responsive when I message them with concerns/issues/needs,Please rate your level of agreement with the following statements about your advisor(s). - I fear retaliation from my advisor when I voice concerns/issues,Please rate your level of agreement with the following statements about your advisor(s). - My advisor meets with me regularly,Please rate your level of agreement with the following statements about your advisor(s). - My advisor provides me with useful program/career advice,Please rate your level of agreement with the following statements about your advisor(s). - I would recommend my advisor to new students,Please rate your level of agreement with the following statements about your advisor(s). - My advisor provides timely feedback on my writing,Please rate your level of agreement with the following statements about your advisor(s). - I am satisfied overall with the mentorship I have received from my advisor(s),Please rate your level of agreement with the following statements about your advisor(s). - I would like to have a formal system to provide my research advisor(s) with feedback regarding their mentorship of me.,"Please rate your level of agreement with the following statements about your advisor(s). - My advisor has made it difficult to meet department milestones (through not responding in a timely manner, ignoring requests, etc).","Mentor-mentee agreements can be used in different ways: first, to clarify lab expectations, and second, to set specific goals for each semester or year. Certain labs across the country have started to use mentor-mentee lab agreements to outline the lab culture, helping incoming students feel more clear about each lab's expectations prior to accepting an offer. These agreements can also be collaboratively created for each semester, outlining the unique milestones and responsibilities of the mentor/mentee for that specific semester. Semester agreements can be reviewed and updated at the end of the term, offering mentors and mentees a time for bidirectional feedback (i.e., examining what went well, what the barriers were, and what can be improved). In general, mentor-mentee agreements aim to clarify expectations, improve productivity, promote student-centered advising, and strengthen the mentorship relationship.

Do you believe that mentor/mentees should sign mentorship agreements?",Do you have any additional thoughts/comments about your mentorship experience?,Use this space for any additional thoughts/comments you'd like to share:
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID41_6""}","{""ImportId"":""QID41_7""}","{""ImportId"":""QID41_8""}","{""ImportId"":""QID41_9""}","{""ImportId"":""QID41_10""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID11_8""}","{""ImportId"":""QID11_9""}","{""ImportId"":""QID11_10""}","{""ImportId"":""QID11_11""}","{""ImportId"":""QID11_12""}","{""ImportId"":""QID11_13""}","{""ImportId"":""QID11_14""}","{""ImportId"":""QID11_14_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID14_6""}","{""ImportId"":""QID14_7""}","{""ImportId"":""QID14_8""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID9_5""}","{""ImportId"":""QID9_6""}","{""ImportId"":""QID9_7""}","{""ImportId"":""QID9_8""}","{""ImportId"":""QID9_9""}","{""ImportId"":""QID9_10""}","{""ImportId"":""QID9_11""}","{""ImportId"":""QID9_12""}","{""ImportId"":""QID9_13""}","{""ImportId"":""QID9_14""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID20_3""}","{""ImportId"":""QID20_4""}","{""ImportId"":""QID20_5""}","{""ImportId"":""QID20_6""}","{""ImportId"":""QID20_7""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID16_5""}","{""ImportId"":""QID16_6""}","{""ImportId"":""QID16_7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID52""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID31_3""}","{""ImportId"":""QID31_4""}","{""ImportId"":""QID31_5""}","{""ImportId"":""QID31_6""}","{""ImportId"":""QID31_7""}","{""ImportId"":""QID31_8""}","{""ImportId"":""QID31_9""}","{""ImportId"":""QID31_10""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID48_TEXT""}"
x,x,x,x,100,95,TRUE,x,R_Q0KFOWLNGylbdex,,,,,32.21299744,-110.8279037,preview,EN,,,,,,x,x,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,x,x,x,100,429,TRUE,x,R_3k87J1O8bCgPeU7,,,,,32.25030518,-110.9449997,anonymous,EN,Probably yes,Probably yes,8,Probably yes,Probably yes,x,x,x,x,No,Yes,x,Neither satisfied nor dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,sample comment,No,No,No,No,No,No,Unsure,No,Unsure,No,No,No,No,No,,Rarely,x,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Agree,Neither Agree Nor Disagree,Disagree,Agree,x,Somewhat disagree,Somewhat agree,Somewhat agree,4,4,4,4,3,3,4,4,4,2,3,4,2,4,Never,Never,Never,Never,Never,Never,Often,Disagree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Probably yes,,x,x,x,Clinical,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Agree,Agree,Somewhat agree,Probably yes,x,x
x,x,x,x,100,588,TRUE,x,R_2ylLXX7rLmEIvBS,,,,,33.43190002,-111.6427994,anonymous,EN,Probably not,Definitely yes,Definitely yes,Definitely yes,Definitely yes,x,x,x,x,No,Yes,x,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,it is instructor dependent--some instructors are great! some are awful to work for.,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Never,x,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,x,Strongly disagree,Strongly agree,Strongly disagree,5,5,3,5,2,5,2,2,5,5,5,5,1,1,Never,Never,Rarely,Often,Never,Always,Sometimes,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Probably not,clinical course work and heidi's intervention research course,x,x,x,Clinical,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Definitely yes,x,x
x,x,x,x,100,979,TRUE,x,R_W98QiOIU9WyiDCh,,,,,32.25030518,-110.9449997,anonymous,EN,Probably yes,Probably yes,Probably yes,Unsure,Probably yes,x,x,x,x,Yes,Yes,x,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Extremely dissatisfied,"There is a huge variance in TA experiences and workload, so it is hard to summarize them.",No,No,Yes,No,No,No,No,Unsure,No,No,No,Yes,No,,,Rarely,x,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Agree,Agree,x,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,4,4,3,3,4,2,3,3,4,4,3,4,3,3,Sometimes,Never,Never,Often,Rarely,Rarely,Often,Neither agree nor disagree,,Neither agree nor disagree,,Strongly Disagree,Agree,Disagree,Definitely yes,PSY 506 A,x,x,x,Cognition and Neural Systems,Agree,Agree,Somewhat disagree,Somewhat agree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly Disagree,Probably yes,x,x
x,x,x,x,100,964,TRUE,x,R_bkjwzWb9PLy10Jj,,,,,32.25030518,-110.9449997,anonymous,EN,Probably not,Probably yes,Probably yes,Definitely yes,Definitely yes,x,x,x,x,Yes,No,x,Extremely satisfied,Extremely satisfied,Neither satisfied nor dissatisfied,,No,No,No,Unsure,No,No,No,No,Unsure,No,No,No,No,,,Rarely,x,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,x,Neither agree nor disagree,Neither agree nor disagree,Agree,5,4,3,5,5,5,4,4,4,5,4,5,3,3,Never,Never,Never,Often,Never,Never,Rarely,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Might or might not,,x,x,x,Clinical,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly Disagree,Definitely yes,x,x
x,x,x,x,100,1293,TRUE,x,R_3jVips7vcStmSfU,,,,,32.25030518,-110.9449997,anonymous,EN,Probably yes,Probably yes,Definitely yes,Probably yes,Definitely yes,x,x,x,x,No,Yes,x,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,,No,No,No,No,No,No,No,No,No,No,No,Unsure,No,No,,Often,x,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Agree,Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,x,Somewhat disagree,Somewhat agree,Neither agree nor disagree,5,5,4,4,4,5,4,4,5,4,5,5,4,4,Never,Never,Sometimes,Sometimes,Never,Sometimes,Often,Disagree,,Neither agree nor disagree,,Strongly Disagree,Disagree,Neither agree nor disagree,Might or might not,506a and 506b,x,x,x,Cognition and Neural Systems,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Probably yes,x,x
x,x,x,x,100,2186,TRUE,x,R_szmMgZjOi6mbge5,,,,,32.13360596,-111.0972977,anonymous,EN,Unsure,Probably not,Unsure,Probably not,Probably yes,x,x,x,x,Yes,Yes,x,Extremely dissatisfied,Somewhat satisfied,Somewhat satisfied,There is an enormous discrepancy in workload and expectations from course to course and semester to semester.,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Never,x,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Agree,Neither Agree Nor Disagree,Agree,x,Somewhat disagree,Somewhat agree,Somewhat agree,4,4,3,4,4,4,4,3,4,4,4,4,2,3,Never,Never,Never,Often,Never,Rarely,Sometimes,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Probably yes,,x,x,x,Clinical,Somewhat agree,Somewhat agree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Somewhat disagree,Probably yes,x,x
